name,floor,wall,roof,window,permeability,spec_wall_heat_cap,wall_density
FASS MC041_1,0.22,0.26,0.18,1.6,3,840,2000
FASS MC041_2,0.22,0.26,0.18,1.6,3,840,2000
FASS MC041_3,0.22,0.26,0.18,1.6,3,840,2000
Furness College MC071_0,0.22,0.26,0.18,1.6,3,840,2000
Furness College MC071_1,0.22,0.26,0.18,1.6,3,840,2000
Furness College MC071_2,0.22,0.26,0.18,1.6,3,840,2000
Furness College MC071_3,0.22,0.26,0.18,1.6,3,840,2000
Furness College MC071_4,0.22,0.26,0.18,1.6,3,840,2000
Fylde College MC072_0,0.22,0.26,0.18,1.6,3,840,2000
Fylde College MC072_1,0.22,0.26,0.18,1.6,3,840,2000
Fylde College MC072_2,0.22,0.26,0.18,1.6,3,840,2000
Fylde College MC072_3,0.22,0.26,0.18,1.6,3,840,2000
Fylde College MC072_4,0.22,0.26,0.18,1.6,3,840,2000
George Fox MC078_0,0.22,0.26,0.18,1.6,3,840,2000
George Fox MC078_1,0.22,0.26,0.18,1.6,3,840,2000
George Fox MC078_2,0.22,0.26,0.18,1.6,3,840,2000
George Fox MC078_3,0.22,0.26,0.18,1.6,3,840,2000
Graduate College AP001-AP011_0,0.22,0.26,0.18,1.6,3,840,2000
Great Hall MC031_0,0.22,0.26,0.18,1.6,3,840,2000
Great Hall MC031_1,0.22,0.26,0.18,1.6,3,840,2000
Grizedale MC198_0,0.22,0.26,0.18,1.6,3,840,2000
Grizedale MC198_1,0.22,0.26,0.18,1.6,3,840,2000
Grizedale MC198_2,0.22,0.26,0.18,1.6,3,840,2000
Grizedale MC198_3,0.22,0.26,0.18,1.6,3,840,2000
Grizedale MC198_4,0.22,0.26,0.18,1.6,3,840,2000
Human Resources Building MC207_0,0.22,0.26,0.18,1.6,3,840,2000
Human Resources Building MC207_1,0.22,0.26,0.18,1.6,3,840,2000
Infolab21 MC102_0,0.22,0.26,0.18,1.6,3,840,2000
Infolab21 MC102_1,0.22,0.26,0.18,1.6,3,840,2000
Infolab21 MC102_2,0.22,0.26,0.18,1.6,3,840,2000
Infolab21 MC102_3,0.22,0.26,0.18,1.6,3,840,2000
IsoLab MC213_0,0.22,0.26,0.18,1.6,3,840,2000
ISS MC197_0,0.22,0.26,0.18,1.6,3,840,2000
ISS MC197_1,0.22,0.26,0.18,1.6,3,840,2000
ISS MC197_2,0.22,0.26,0.18,1.6,3,840,2000
ISS MC197_3,0.22,0.26,0.18,1.6,3,840,2000
Lancaster Conference Centre MC103_0,0.22,0.26,0.18,1.6,3,840,2000
LEC MC068_69_70_1,0.22,0.26,0.18,1.6,3,840,2000
LEC MC068_69_70_2,0.22,0.26,0.18,1.6,3,840,2000
LEC MC068_69_70_3,0.22,0.26,0.18,1.6,3,840,2000
LEC MC068_69_70_4,0.22,0.26,0.18,1.6,3,840,2000
Library MC065_0,0.22,0.26,0.18,1.6,3,840,2000
Library MC065_1,0.22,0.26,0.18,1.6,3,840,2000
Library MC065_2,0.22,0.26,0.18,1.6,3,840,2000
Library MC065_3,0.22,0.26,0.18,1.6,3,840,2000
LICA MC200_0,0.22,0.26,0.18,1.6,3,840,2000
LICA MC200_1,0.22,0.26,0.18,1.6,3,840,2000
LICA MC200_2,0.22,0.26,0.18,1.6,3,840,2000
Life Sciences and Environment Laboratories MC211_0,0.22,0.26,0.18,1.6,3,840,2000
Life Sciences and Environment Laboratories MC211_1,0.22,0.26,0.18,1.6,3,840,2000
Lonsdale House AP080_0,0.22,0.26,0.18,1.6,3,840,2000
Lonsdale House AP080_1,0.22,0.26,0.18,1.6,3,840,2000
Management School MC075_0,0.22,0.26,0.18,1.6,3,840,2000
