index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
168,6735,0.01,A1,A Floor,MC063,Slaidburn House,Slaidburn House MC063_1,631.1,0,0,0.0,0.0,0.0,0.0,0,MC063
169,6740,0.01,A3,B Floor,MC063,Slaidburn House,Slaidburn House MC063_2,300.20000000000005,0,0,0.0,0.0,0.0,0.0,0,MC063
170,6763,0.01,A3,C Floor,MC063,Slaidburn House,Slaidburn House MC063_3,315.00000000000006,0,0,0.0,0.0,0.0,0.0,0,MC063
171,6786,0.01,A3,D Floor,MC063,Slaidburn House,Slaidburn House MC063_4,315.00000000000006,0,0,0.0,0.0,0.0,0.0,0,MC063
172,6809,0.01,A3,E Floor,MC063,Slaidburn House,Slaidburn House MC063_5,315.00000000000006,0,0,0.0,0.0,0.0,0.0,0,MC063
173,6832,0.01,A1,LG Floor,MC204,Sports Centre,Sports Centre MC204_0,376.4,0,0,0.0,0.0,0.0,0.0,0,MC204
174,6837,0.01,A1,A Floor,MC051,University House,University House MC051_0,890.4000000000003,0,0,0.0,0.0,0.0,0.0,0,MC051
175,6876,0.01,A1,B Floor,MC051,University House,University House MC051_1,71.5,0,0,0.0,0.0,0.0,0.0,0,MC051
176,6884,0.01,A1,C Floor,MC051,University House,University House MC051_2,266.9,0,0,0.0,0.0,0.0,0.0,0,MC051
177,6903,NTS,A3,D Floor,MC051,University House,University House MC051_3,400.70000000000016,0,0,0.0,0.0,0.0,0.0,0,MC051
178,6928,0.01,A1,A Floor,MC047,Welcome Centre,Welcome Centre MC047_0,1065.0,0,0,0.0,2822.2500000000005,0.0,0.0,0,MC047
179,6949,0.01,A3,A Floor,MC077,Whewell Building,Whewell Building MC077_0,398.5999999999999,0,0,0.0,0.0,0.0,0.0,0,MC077
180,6972,0.01,A3,B Floor,MC077,Whewell Building,Whewell Building MC077_1,307.00000000000006,0,0,0.0,0.0,0.0,0.0,0,MC077
