Timestamp,Numbers
2020-01-19 06:50:00,313
2020-01-19 07:00:00,317
2020-01-19 07:10:00,316
2020-01-19 07:20:00,313
2020-01-19 07:30:00,314
2020-01-19 07:40:00,317
2020-01-19 07:50:00,322
2020-01-19 08:00:00,329
2020-01-19 08:10:00,163
2020-01-19 08:20:00,329
2020-01-19 08:30:00,321
2020-01-19 08:40:00,320
2020-01-19 08:50:00,316
2020-01-19 09:00:00,329
2020-01-19 09:10:00,335
2020-01-19 09:20:00,330
2020-01-19 09:30:00,339
2020-01-19 09:40:00,341
2020-01-19 09:50:00,341
2020-01-19 10:00:00,338
2020-01-19 10:10:00,340
2020-01-19 10:20:00,353
2020-01-19 10:30:00,362
2020-01-19 10:40:00,360
2020-01-19 10:50:00,350
2020-01-19 11:00:00,361
2020-01-19 11:10:00,366
2020-01-19 11:20:00,369
2020-01-19 11:30:00,383
2020-01-19 11:40:00,378
2020-01-19 11:50:00,368
2020-01-19 12:00:00,370
2020-01-19 12:10:00,368
2020-01-19 12:20:00,371
2020-01-19 12:30:00,374
2020-01-19 12:40:00,191
2020-01-19 12:50:00,371
2020-01-19 13:00:00,370
2020-01-19 13:10:00,358
2020-01-19 13:20:00,363
2020-01-19 13:30:00,361
2020-01-19 13:40:00,354
2020-01-19 13:50:00,348
2020-01-19 14:00:00,341
2020-01-19 14:10:00,343
2020-01-19 14:20:00,356
2020-01-19 14:30:00,362
2020-01-19 14:40:00,369
2020-01-19 14:50:00,374
2020-01-19 15:00:00,364
2020-01-19 15:10:00,377
2020-01-19 15:20:00,370
2020-01-19 15:30:00,368
2020-01-19 15:40:00,377
2020-01-19 15:50:00,374
2020-01-19 16:00:00,354
2020-01-19 16:10:00,371
2020-01-19 16:20:00,360
2020-01-19 16:30:00,362
2020-01-19 16:40:00,368
2020-01-19 16:50:00,359
2020-01-19 17:00:00,353
2020-01-19 17:10:00,356
2020-01-19 17:20:00,363
2020-01-19 17:30:00,361
2020-01-19 17:40:00,357
2020-01-19 17:50:00,362
2020-01-19 18:00:00,378
2020-01-19 18:10:00,190
2020-01-19 18:20:00,371
2020-01-19 18:30:00,368
2020-01-19 18:40:00,352
2020-01-19 18:50:00,348
2020-01-19 19:00:00,353
2020-01-19 19:10:00,350
2020-01-19 19:20:00,353
2020-01-19 19:30:00,354
2020-01-19 19:40:00,362
2020-01-19 19:50:00,355
2020-01-19 20:00:00,348
2020-01-19 20:10:00,355
2020-01-19 20:20:00,362
2020-01-19 20:30:00,366
2020-01-19 20:40:00,375
2020-01-19 20:50:00,386
2020-01-19 21:00:00,395
2020-01-19 21:10:00,396
2020-01-19 21:20:00,404
2020-01-19 21:30:00,205
2020-01-19 21:40:00,415
2020-01-19 21:50:00,415
2020-01-19 22:00:00,420
2020-01-19 22:10:00,416
2020-01-19 22:20:00,431
2020-01-19 22:30:00,432
2020-01-19 22:40:00,431
2020-01-19 22:50:00,433
2020-01-19 23:00:00,427
2020-01-19 23:10:00,427
2020-01-19 23:20:00,419
2020-01-19 23:30:00,209
2020-01-19 23:40:00,620
2020-01-19 23:50:00,203
2020-01-20 00:00:00,401
2020-01-20 00:10:00,394
2020-01-20 00:20:00,401
2020-01-20 00:30:00,398
2020-01-20 00:40:00,393
2020-01-20 00:50:00,392
2020-01-20 01:00:00,398
2020-01-20 01:10:00,391
2020-01-20 01:20:00,391
2020-01-20 01:30:00,384
2020-01-20 01:40:00,380
2020-01-20 01:50:00,367
2020-01-20 02:00:00,366
2020-01-20 02:10:00,358
2020-01-20 02:20:00,352
2020-01-20 02:30:00,355
2020-01-20 02:40:00,355
2020-01-20 02:50:00,355
2020-01-20 03:00:00,361
2020-01-20 03:10:00,356
2020-01-20 03:20:00,353
2020-01-20 03:30:00,353
2020-01-20 03:40:00,352
2020-01-20 03:50:00,344
2020-01-20 04:00:00,346
2020-01-20 04:10:00,349
2020-01-20 04:20:00,341
2020-01-20 04:30:00,171
2020-01-20 04:40:00,343
2020-01-20 04:50:00,339
2020-01-20 05:00:00,339
2020-01-20 05:10:00,339
2020-01-20 05:20:00,338
2020-01-20 05:30:00,341
2020-01-20 05:40:00,344
2020-01-20 05:50:00,345
2020-01-20 06:00:00,346
2020-01-20 06:10:00,346
2020-01-20 06:20:00,349
2020-01-20 06:30:00,345
2020-01-20 06:40:00,349
2020-01-20 06:50:00,345
2020-01-20 07:00:00,347
2020-01-20 07:10:00,351
2020-01-20 07:20:00,357
2020-01-20 07:30:00,362
2020-01-20 07:40:00,368
2020-01-20 07:50:00,372
2020-01-20 08:00:00,374
2020-01-20 08:10:00,394
2020-01-20 08:20:00,395
2020-01-20 08:30:00,418
2020-01-20 08:40:00,427
2020-01-20 08:50:00,375
2020-01-20 09:00:00,328
2020-01-20 09:10:00,334
2020-01-20 09:20:00,328
2020-01-20 09:30:00,328
2020-01-20 09:40:00,319
2020-01-20 09:50:00,360
2020-01-20 10:00:00,171
2020-01-20 10:10:00,341
2020-01-20 10:20:00,354
2020-01-20 10:30:00,366
2020-01-20 10:40:00,400
2020-01-20 10:50:00,377
2020-01-20 11:00:00,371
2020-01-20 11:10:00,365
2020-01-20 11:20:00,361
2020-01-20 11:30:00,354
2020-01-20 11:40:00,360
2020-01-20 11:50:00,174
2020-01-20 12:00:00,346
2020-01-20 12:10:00,361
2020-01-20 12:20:00,380
2020-01-20 12:30:00,391
2020-01-20 12:40:00,392
2020-01-20 12:50:00,416
2020-01-20 13:00:00,395
2020-01-20 13:10:00,377
2020-01-20 13:20:00,383
2020-01-20 13:30:00,382
2020-01-20 13:40:00,408
2020-01-20 13:50:00,421
2020-01-20 14:00:00,213
2020-01-20 14:10:00,396
2020-01-20 14:20:00,370
2020-01-20 14:30:00,378
2020-01-20 14:40:00,398
2020-01-20 14:50:00,407
2020-01-20 15:00:00,399
2020-01-20 15:10:00,393
2020-01-20 15:20:00,401
2020-01-20 15:30:00,391
2020-01-20 15:40:00,394
2020-01-20 15:50:00,413
2020-01-20 16:00:00,408
2020-01-20 16:10:00,199
2020-01-20 16:20:00,388
2020-01-20 16:30:00,382
2020-01-20 16:40:00,387
2020-01-20 16:50:00,392
2020-01-20 17:00:00,350
2020-01-20 17:10:00,361
2020-01-20 17:20:00,358
2020-01-20 17:30:00,368
2020-01-20 17:40:00,386
2020-01-20 17:50:00,381
2020-01-20 18:00:00,398
2020-01-20 18:10:00,380
2020-01-20 18:20:00,375
2020-01-20 18:30:00,357
2020-01-20 18:40:00,363
2020-01-20 18:50:00,194
2020-01-20 19:00:00,385
2020-01-20 19:10:00,374
2020-01-20 19:20:00,372
2020-01-20 19:30:00,376
2020-01-20 19:40:00,359
2020-01-20 19:50:00,350
2020-01-20 20:00:00,350
2020-01-20 20:10:00,374
2020-01-20 20:20:00,368
2020-01-20 20:30:00,362
2020-01-20 20:40:00,371
2020-01-20 20:50:00,392
2020-01-20 21:00:00,401
2020-01-20 21:10:00,408
2020-01-20 21:20:00,416
2020-01-20 21:30:00,418
2020-01-20 21:40:00,420
2020-01-20 21:50:00,218
2020-01-20 22:00:00,432
2020-01-20 22:10:00,429
2020-01-20 22:20:00,443
2020-01-20 22:30:00,447
2020-01-20 22:40:00,447
2020-01-20 22:50:00,438
2020-01-20 23:00:00,429
2020-01-20 23:10:00,424
2020-01-20 23:20:00,423
2020-01-20 23:30:00,417
2020-01-20 23:40:00,426
2020-01-20 23:50:00,429
2020-01-21 00:00:00,419
2020-01-21 00:10:00,419
2020-01-21 00:20:00,407
2020-01-21 00:30:00,392
2020-01-21 00:40:00,394
2020-01-21 00:50:00,393
2020-01-21 01:00:00,392
2020-01-21 01:10:00,385
2020-01-21 01:20:00,381
2020-01-21 01:30:00,376
2020-01-21 01:40:00,371
2020-01-21 01:50:00,372
2020-01-21 02:00:00,365
2020-01-21 02:10:00,368
2020-01-21 02:20:00,363
2020-01-21 02:30:00,361
2020-01-21 02:40:00,359
2020-01-21 02:50:00,353
2020-01-21 03:00:00,351
2020-01-21 03:10:00,173
2020-01-21 03:20:00,349
2020-01-21 03:30:00,342
2020-01-21 03:40:00,336
2020-01-21 03:50:00,334
2020-01-21 04:00:00,334
2020-01-21 04:10:00,333
2020-01-21 04:20:00,332
2020-01-21 04:30:00,335
2020-01-21 04:40:00,332
2020-01-21 04:50:00,338
2020-01-21 05:00:00,333
2020-01-21 05:10:00,331
2020-01-21 05:20:00,327
2020-01-21 05:30:00,330
2020-01-21 05:40:00,331
2020-01-21 05:50:00,328
2020-01-21 06:00:00,327
2020-01-21 06:10:00,331
2020-01-21 06:20:00,329
2020-01-21 06:30:00,332
2020-01-21 06:40:00,340
2020-01-21 06:50:00,336
2020-01-21 07:00:00,334
2020-01-21 07:10:00,332
2020-01-21 07:20:00,345
2020-01-21 07:30:00,353
2020-01-21 07:40:00,366
2020-01-21 07:50:00,365
2020-01-21 08:00:00,381
2020-01-21 08:10:00,383
2020-01-21 08:20:00,393
2020-01-21 08:30:00,400
2020-01-21 08:40:00,396
2020-01-21 08:50:00,386
2020-01-21 09:00:00,354
2020-01-21 09:10:00,346
2020-01-21 09:20:00,355
2020-01-21 09:30:00,187
2020-01-21 09:40:00,386
2020-01-21 09:50:00,375
2020-01-21 10:00:00,350
2020-01-21 10:10:00,356
2020-01-21 10:20:00,359
2020-01-21 10:30:00,363
2020-01-21 10:40:00,369
2020-01-21 10:50:00,360
2020-01-21 11:00:00,340
2020-01-21 11:10:00,346
2020-01-21 11:20:00,357
2020-01-21 11:30:00,351
2020-01-21 11:40:00,362
2020-01-21 11:50:00,376
2020-01-21 12:00:00,356
2020-01-21 12:10:00,356
2020-01-21 12:20:00,350
2020-01-21 12:30:00,383
2020-01-21 12:40:00,200
2020-01-21 12:50:00,424
2020-01-21 13:00:00,424
2020-01-21 13:10:00,395
2020-01-21 13:20:00,407
2020-01-21 13:30:00,419
2020-01-21 13:40:00,402
2020-01-21 13:50:00,415
2020-01-21 14:00:00,361
2020-01-21 14:10:00,353
2020-01-21 14:20:00,352
2020-01-21 14:30:00,348
2020-01-21 14:40:00,373
2020-01-21 14:50:00,390
2020-01-21 15:00:00,386
2020-01-21 15:10:00,377
2020-01-21 15:20:00,378
2020-01-21 15:30:00,385
2020-01-21 15:40:00,377
2020-01-21 15:50:00,198
2020-01-21 16:00:00,390
2020-01-21 16:10:00,389
2020-01-21 16:20:00,366
2020-01-21 16:30:00,365
2020-01-21 16:40:00,385
2020-01-21 16:50:00,374
2020-01-21 17:00:00,365
2020-01-21 17:10:00,375
2020-01-21 17:20:00,368
2020-01-21 17:30:00,365
2020-01-21 17:40:00,372
2020-01-21 17:50:00,405
2020-01-21 18:00:00,376
2020-01-21 18:10:00,398
2020-01-21 18:20:00,411
2020-01-21 18:30:00,417
2020-01-21 18:40:00,422
2020-01-21 18:50:00,411
2020-01-21 19:00:00,412
2020-01-21 19:10:00,405
2020-01-21 19:20:00,404
2020-01-21 19:30:00,404
2020-01-21 19:40:00,400
2020-01-21 19:50:00,199
2020-01-21 20:00:00,392
2020-01-21 20:10:00,391
2020-01-21 20:20:00,391
2020-01-21 20:30:00,381
2020-01-21 20:40:00,366
2020-01-21 20:50:00,367
2020-01-21 21:00:00,379
2020-01-21 21:10:00,382
2020-01-21 21:20:00,393
2020-01-21 21:30:00,395
2020-01-21 21:40:00,385
2020-01-21 21:50:00,385
2020-01-21 22:00:00,401
2020-01-21 22:10:00,408
2020-01-21 22:20:00,415
2020-01-21 22:30:00,424
2020-01-21 22:40:00,428
2020-01-21 22:50:00,429
2020-01-21 23:00:00,433
2020-01-21 23:10:00,423
2020-01-21 23:20:00,420
2020-01-21 23:30:00,426
2020-01-21 23:40:00,419
2020-01-21 23:50:00,424
2020-01-22 00:00:00,425
2020-01-22 00:10:00,428
2020-01-22 00:20:00,217
2020-01-22 00:30:00,432
2020-01-22 00:40:00,421
2020-01-22 00:50:00,408
2020-01-22 01:00:00,407
2020-01-22 01:10:00,408
2020-01-22 01:20:00,402
2020-01-22 01:30:00,403
2020-01-22 01:40:00,397
2020-01-22 01:50:00,394
2020-01-22 02:00:00,387
2020-01-22 02:10:00,384
2020-01-22 02:20:00,381
2020-01-22 02:30:00,380
2020-01-22 02:40:00,375
2020-01-22 02:50:00,374
2020-01-22 03:00:00,372
2020-01-22 03:10:00,368
2020-01-22 03:20:00,367
2020-01-22 03:30:00,364
2020-01-22 03:40:00,362
2020-01-22 03:50:00,360
2020-01-22 04:00:00,360
2020-01-22 04:10:00,359
2020-01-22 04:20:00,354
2020-01-22 04:30:00,354
2020-01-22 04:40:00,349
2020-01-22 04:50:00,345
2020-01-22 05:00:00,352
2020-01-22 05:10:00,349
2020-01-22 05:20:00,343
2020-01-22 05:30:00,347
2020-01-22 05:40:00,349
2020-01-22 05:50:00,350
2020-01-22 06:00:00,350
2020-01-22 06:10:00,352
2020-01-22 06:20:00,172
2020-01-22 06:30:00,354
2020-01-22 06:40:00,356
2020-01-22 06:50:00,359
2020-01-22 07:00:00,362
2020-01-22 07:10:00,360
2020-01-22 07:20:00,362
2020-01-22 07:30:00,376
2020-01-22 07:40:00,383
2020-01-22 07:50:00,389
2020-01-22 08:00:00,393
2020-01-22 08:10:00,408
2020-01-22 08:20:00,403
2020-01-22 08:30:00,422
2020-01-22 08:40:00,413
2020-01-22 08:50:00,392
2020-01-22 09:00:00,352
2020-01-22 09:10:00,345
2020-01-22 09:20:00,345
2020-01-22 09:30:00,348
2020-01-22 09:40:00,355
2020-01-22 09:50:00,346
2020-01-22 10:00:00,319
2020-01-22 10:10:00,326
2020-01-22 10:20:00,333
2020-01-22 10:30:00,328
2020-01-22 10:40:00,356
2020-01-22 10:50:00,192
2020-01-22 11:00:00,547
2020-01-22 11:10:00,355
2020-01-22 11:20:00,182
2020-01-22 11:30:00,362
2020-01-22 11:40:00,371
2020-01-22 11:50:00,378
2020-01-22 12:00:00,367
2020-01-22 12:10:00,359
2020-01-22 12:20:00,363
2020-01-22 12:30:00,380
2020-01-22 12:40:00,372
2020-01-22 12:50:00,419
2020-01-22 13:00:00,420
2020-01-22 13:10:00,402
2020-01-22 13:20:00,409
2020-01-22 13:30:00,417
2020-01-22 13:40:00,402
2020-01-22 13:50:00,203
2020-01-22 14:00:00,369
2020-01-22 14:10:00,379
2020-01-22 14:20:00,378
2020-01-22 14:30:00,397
2020-01-22 14:40:00,389
2020-01-22 14:50:00,377
2020-01-22 15:00:00,383
2020-01-22 15:10:00,378
2020-01-22 15:20:00,385
2020-01-22 15:30:00,372
2020-01-22 15:40:00,377
2020-01-22 15:50:00,382
2020-01-22 16:00:00,382
2020-01-22 16:10:00,380
2020-01-22 16:20:00,187
2020-01-22 16:30:00,394
2020-01-22 16:40:00,387
2020-01-22 16:50:00,362
2020-01-22 17:00:00,360
2020-01-22 17:10:00,381
2020-01-22 17:20:00,388
2020-01-22 17:30:00,387
2020-01-22 17:40:00,401
2020-01-22 17:50:00,400
2020-01-22 18:00:00,389
2020-01-22 18:10:00,401
2020-01-22 18:20:00,402
2020-01-22 18:30:00,415
2020-01-22 18:40:00,406
2020-01-22 18:50:00,390
2020-01-22 19:00:00,386
2020-01-22 19:10:00,380
2020-01-22 19:20:00,395
2020-01-22 19:30:00,197
2020-01-22 19:40:00,594
2020-01-22 19:50:00,195
