time,Air Temperature,Wall Temperature,Data
0.032222958,21.16174703,21.45872129,21.45917418
0.032500742,21.15924392,21.45871731,21.45917418
0.032778526,21.15674183,21.45871333,21.45917418
0.03305631,21.15424076,21.45870934,21.45917418
0.033334094,21.15174072,21.45870536,21.45917418
0.033611878,21.1492417,21.45870137,21.45917418
0.033889663,21.1467437,21.45869739,21.45917418
0.034167447,21.14424673,21.4586934,21.45917418
0.034445231,21.14175077,21.45868941,21.45917418
0.034723015,21.13925584,21.45868542,21.45917418
0.035000799,21.13676192,21.45868143,21.45917418
0.035278583,21.13426903,21.45867743,21.45917418
0.035556367,21.13177715,21.45867344,21.45917418
0.035834151,21.1292863,21.45866944,21.45917418
0.036111936,21.12679646,21.45866545,21.45917418
0.03638972,21.12430764,21.45866145,21.45917418
0.036667504,21.12181983,21.45865745,21.45917418
0.036945288,21.11933305,21.45865345,21.45917418
0.037223072,21.11684728,21.45864945,21.45917418
0.037500856,21.11436253,21.45864544,21.45917418
0.03777864,21.11187879,21.45864144,21.45917418
0.038056424,21.10939607,21.45863743,21.45917418
0.038334209,21.10691436,21.45863343,21.45917418
0.038611993,21.10443367,21.45862942,21.45917418
0.038889777,21.10195399,21.45862541,21.45917418
0.039167561,21.09947532,21.4586214,21.45917418
0.039445345,21.09699767,21.45861739,21.45917418
0.039723129,21.09452103,21.45861337,21.45917418
0.040000913,21.0920454,21.45860936,21.45917418
0.040278697,21.08957078,21.45860534,21.45917418
0.040556481,21.08709718,21.45860132,21.45917418
0.040834266,21.08462459,21.45859731,21.45917418
0.04111205,21.082153,21.45859329,21.45917418
0.041389834,21.07968243,21.45858927,21.45917418
0.041667618,21.07721287,21.45858524,21.45917418
0.041945402,21.07474431,21.45858122,21.45917418
0.042223186,21.07227676,21.4585772,21.45917418
0.04250097,21.06981023,21.45857317,21.45917418
0.042778754,21.0673447,21.45856914,21.45917418
0.043056539,21.06488017,21.45856511,21.45917418
0.043334323,21.06241666,21.45856108,21.45917418
0.043612107,21.05995415,21.45855705,21.45917418
0.043889891,21.05749265,21.45855302,21.45917418
0.044167675,21.05503215,21.45854899,21.45917418
0.044445459,21.05257266,21.45854495,21.45917418
0.044723243,21.05011417,21.45854092,21.45917418
0.045001027,21.04765669,21.45853688,21.45917418
0.045278812,21.04520021,21.45853284,21.45917418
0.045556596,21.04274473,21.4585288,21.45917418
0.04583438,21.04029026,21.45852476,21.45917418
0.046112164,21.03783679,21.45852072,21.45917418
0.046389948,21.03538432,21.45851667,21.45917418
0.046667732,21.03293286,21.45851263,21.45917418
0.046945516,21.03048239,21.45850858,21.45917418
0.0472233,21.02803293,21.45850453,21.45917418
0.047501084,21.02558447,21.45850048,21.45917418
0.047778869,21.023137,21.45849643,21.45917418
0.048056653,21.02069054,21.45849238,21.45917418
0.048334437,21.01824508,21.45848833,21.45917418
0.048612221,21.01580061,21.45848428,21.45917418
0.048890005,21.01335714,21.45848022,21.45917418
0.049167789,21.01091467,21.45847617,21.45917418
0.049445573,21.0084732,21.45847211,21.45917418
0.049723357,21.00603273,21.45846805,21.45917418
0.050001142,21.00359325,21.45846399,21.45917418
0.050278926,21.00115476,21.45845993,21.45917418
0.05055671,20.99871728,21.45845587,21.45917418
0.050834494,20.99628079,21.4584518,21.45917418
0.051112278,20.99384529,21.45844774,21.45917418
0.051390062,20.99141079,21.45844367,21.45917418
0.051667846,20.98897728,21.4584396,21.45917418
0.05194563,20.98654476,21.45843553,21.45917418
0.052223415,20.98411324,21.45843146,21.45917418
0.052501199,20.98168271,21.45842739,21.45917418
0.052778983,20.97925318,21.45842332,21.45917418
0.053056767,20.97682463,21.45841925,21.45917418
0.053334551,20.97439708,21.45841517,21.45917418
0.053612335,20.97197051,21.4584111,21.45917418
0.053890119,20.96954494,21.45840702,21.45917418
0.054167903,20.96712036,21.45840294,21.45917418
0.054445687,20.96469677,21.45839886,21.45917418
0.054723472,20.96227416,21.45839478,21.45917418
0.055001256,20.95985255,21.4583907,21.45917418
0.05527904,20.95743192,21.45838661,21.45917418
0.055556824,20.95501229,21.45838253,21.45917418
0.055834608,20.95259364,21.45837844,21.45917418
0.056112392,20.95017597,21.45837435,21.45917418
0.056390176,20.94775929,21.45837027,21.45917418
0.05666796,20.9453436,21.45836618,21.45917418
0.056945745,20.9429289,21.45836208,21.45917418
0.057223529,20.94051518,21.45835799,21.45917418
0.057501313,20.93810245,21.4583539,21.45917418
0.057779097,20.9356907,21.4583498,21.45917418
0.058056881,20.93327993,21.45834571,21.45917418
0.058334665,20.93087015,21.45834161,21.45917418
0.058612449,20.92846135,21.45833751,21.45917418
0.058890233,20.92605353,21.45833341,21.45917418
0.059168018,20.9236467,21.45832931,21.45917418
0.059445802,20.92124085,21.45832521,21.45917418
0.059723586,20.91883598,21.45832111,21.45917418
0.06000137,20.91643209,21.458317,21.45917418
0.060279154,20.91402918,21.4583129,21.45917418
0.060556938,20.91162726,21.45830879,21.45917418
0.060834722,20.90922631,21.45830468,21.45917418
0.061112506,20.90682634,21.45830057,21.45917418
0.06139029,20.90442735,21.45829646,21.45917418
0.061668075,20.90202934,21.45829235,21.45917418
0.061945859,20.89963231,21.45828823,21.45917418
0.062223643,20.89723625,21.45828412,21.45917418
0.062501427,20.89484117,21.45828,21.45917418
0.062779211,20.89244707,21.45827589,21.45917418
0.063056995,20.89005395,21.45827177,21.45917418
0.063334779,20.8876618,21.45826765,21.45917418
0.063612563,20.88527063,21.45826353,21.45917418
0.063890348,20.88288043,21.45825941,21.45917418
0.064168132,20.88049121,21.45825528,21.45917418
0.064445916,20.87810296,21.45825116,21.45917418
0.0647237,20.87571569,21.45824703,21.45917418
0.065001484,20.87332939,21.45824291,21.45917418
0.065279268,20.87094406,21.45823878,21.45917418
0.065557052,20.86855971,21.45823465,21.45917418
0.065834836,20.86617633,21.45823052,21.45917418
0.06611262,20.86379392,21.45822639,21.45917418
0.066390405,20.86141248,21.45822225,21.45917418
0.066668189,20.85903201,21.45821812,21.45917418
0.066945973,20.85665251,21.45821399,21.45917418
0.067223757,20.85427398,21.45820985,21.45917418
0.067501541,20.85189643,21.45820571,21.45917418
0.067779325,20.84951984,21.45820157,21.45917418
0.068057109,20.84714422,21.45819743,21.45917418
0.068334893,20.84476957,21.45819329,21.45917418
0.068612678,20.84239589,21.45818915,21.45917418
0.068890462,20.84002317,21.458185,21.45917418
0.069168246,20.83765143,21.45818086,21.45917418
0.06944603,20.83528065,21.45817671,21.45917418
0.069723814,20.83291083,21.45817256,21.45917418
0.070001598,20.83054199,21.45816842,21.45917418
0.070279382,20.8281741,21.45816427,21.45917418
0.070557166,20.82580719,21.45816011,21.45917418
0.070834951,20.82344123,21.45815596,21.45917418
0.071112735,20.82107625,21.45815181,21.45917418
0.071390519,20.81871222,21.45814765,21.45917418
0.071668303,20.81634916,21.4581435,21.45917418
0.071946087,20.81398706,21.45813934,21.45917418
0.072223871,20.81162593,21.45813518,21.45917418
0.072501655,20.80926576,21.45813102,21.45917418
0.072779439,20.80690655,21.45812686,21.45917418
0.073057223,20.8045483,21.4581227,21.45917418
0.073335008,20.80219101,21.45811854,21.45917418
0.073612792,20.79983468,21.45811437,21.45917418
0.073890576,20.79747931,21.45811021,21.45917418
0.07416836,20.79512491,21.45810604,21.45917418
0.074446144,20.79277146,21.45810187,21.45917418
0.074723928,20.79041897,21.4580977,21.45917418
0.075001712,20.78806744,21.45809353,21.45917418
0.075279496,20.78571687,21.45808936,21.45917418
0.075557281,20.78336725,21.45808519,21.45917418
0.075835065,20.7810186,21.45808101,21.45917418
0.076112849,20.7786709,21.45807684,21.45917418
0.076390633,20.77632415,21.45807266,21.45917418
0.076668417,20.77397836,21.45806848,21.45917418
0.076946201,20.77163353,21.4580643,21.45917418
0.077223985,20.76928966,21.45806012,21.45917418
0.077501769,20.76694673,21.45805594,21.45917418
0.077779554,20.76460477,21.45805176,21.45917418
0.078057338,20.76226375,21.45804758,21.45917418
0.078335122,20.75992369,21.45804339,21.45917418
0.078612906,20.75758459,21.4580392,21.45917418
0.07889069,20.75524643,21.45803502,21.45917418
0.079168474,20.75290923,21.45803083,21.45917418
0.079446258,20.75057298,21.45802664,21.45917418
0.079724042,20.74823768,21.45802245,21.45917418
0.080001826,20.74590334,21.45801825,21.45917418
0.080279611,20.74356994,21.45801406,21.45917418
0.080557395,20.74123749,21.45800987,21.45917418
0.080835179,20.738906,21.45800567,21.45917418
0.081112963,20.73657545,21.45800147,21.45917418
0.081390747,20.73424586,21.45799728,21.45917418
0.081668531,20.73191721,21.45799308,21.45917418
0.081946315,20.72958951,21.45798888,21.45917418
