,time,Output Power;voltage;Avg,Energy generated (kWh),energy_rolling_avg
0,00-00-00,450.01402504201695,7.3098166871416765,
1,00-01-00,452.9655774789913,7.357759937209929,
2,00-02-00,450.69488537815204,7.32087557330057,
3,00-03-00,448.7325791596631,7.289000795795802,
4,00-04-00,449.29905100840335,7.298202628992641,7.315131124488124
5,00-05-00,446.8559441176469,7.258517788697781,7.304871344799345
6,00-06-00,452.4976347899161,7.350158562653561,7.3033510698880715
7,00-07-00,450.4938318487394,7.317609441714448,7.302697843570845
8,00-08-00,450.56323638655414,7.318736961506957,7.308645076713077
9,00-09-00,448.75386890756306,7.2893464441714375,7.306873839748837
10,00-10-00,447.2540281512608,7.26498353944855,7.308166989898991
11,00-11-00,441.155277815126,7.165918948948944,7.271319067158068
12,00-12-00,445.7540875630242,7.240619911274911,7.25592116107016
13,00-13-00,443.35237201680627,7.201607484302488,7.232495265629266
14,00-14-00,439.17258865546194,7.133712519792514,7.201368480753482
15,00-15-00,439.4830699159663,7.138755902265899,7.176122953316951
16,00-16-00,437.07361201680703,7.099618124488118,7.162862788424786
17,00-17-00,439.0157363865546,7.131164518154502,7.140971709800704
18,00-18-00,440.7932773949587,7.160037937482935,7.132657800436793
19,00-19-00,441.0353551260497,7.163970787605788,7.138709453999448
20,00-20-00,438.0079481512605,7.114795247065237,7.133917322959316
21,00-21-00,435.8751626050418,7.080151262626266,7.130023950586946
22,00-22-00,438.4003554621846,7.121169616434625,7.12802497024297
23,00-23-00,437.4095623529411,7.105074897624896,7.117032362271362
24,00-24-00,436.8969834453788,7.096749662844654,7.103588137319136
25,00-25-00,437.39946773109233,7.1049115806715735,7.101611404040403
26,00-26-00,435.17157537815126,7.068722166257162,7.099325584766582
27,00-27-00,437.3624505882355,7.104309781599772,7.095953617799611
28,00-28-00,435.6533042857138,7.076547477477475,7.090248133770127
29,00-29-00,432.5281176470587,7.025783094458086,7.076054820092814
30,00-30-00,430.17645126050473,6.987583884793868,7.052589280917273
31,00-31-00,430.84515294117637,6.998446535626534,7.038534154791148
32,00-32-00,431.75309756302454,7.0131948225498135,7.020311162981156
33,00-33-00,413.48094907563046,6.7163904900354865,6.948279765492757
34,00-34-00,392.32664336134434,6.3727704013104,6.81767722686322
35,00-35-00,433.8856451260503,7.04783413868413,6.829727277641273
36,00-36-00,432.51392302521015,7.025553179088185,6.835148606333602
37,00-37-00,431.52126647058816,7.009428094458094,6.834395260715259
38,00-38-00,440.647289327731,7.1576675743925735,6.9226506775866765
39,00-39-00,432.2272233613446,7.0208954163254145,7.052275680589679
40,00-40-00,433.0915121008395,7.03493486895987,7.049695826644827
41,00-41-00,436.5415695798319,7.090976298116298,7.062780450450449
42,00-42-00,431.93340840336134,7.0161237755937655,7.0641195866775846
43,00-43-00,438.1368236134452,7.116888614523607,7.055963794703791
44,00-44-00,439.2619871428571,7.135165372645362,7.0788177859677806
45,00-45-00,439.08847521008363,7.13234622304122,7.09830005678405
46,00-46-00,436.1292301680672,7.084278188643174,7.096960434889427
47,00-47-00,435.78577100840295,7.078698841113849,7.109475447993442
48,00-48-00,439.31388739495793,7.136008536718537,7.113299432432429
49,00-49-00,438.24752369747864,7.11868701610701,7.110003761124759
50,00-50-00,437.3241700840332,7.103688240513245,7.1042721646191636
51,00-51-00,442.49741529411756,7.187719856674858,7.1249604982255
52,00-52-00,437.31116336134426,7.103477401037405,7.129916210210212
53,00-53-00,442.0246431092437,7.180040279825281,7.13872255883156
54,00-54-00,444.9008945378152,7.226760884520873,7.160337332514333
55,00-55-00,442.8557293277317,7.193541036036039,7.178307891618891
56,00-56-00,438.8796232773112,7.128954292929287,7.166554778869776
57,00-57-00,435.8172468907563,7.079210554190556,7.161701409500408
58,00-58-00,433.65598193277305,7.044104739284747,7.134514301392301
59,00-59-00,440.16505722689044,7.149834793884796,7.119129083265085
60,01-00-00,440.119395462185,7.149092747747739,7.110239425607425
61,01-01-00,437.6922475630256,7.109667282282284,7.106382023478025
62,01-02-00,438.7693404201681,7.1271630098280045,7.115972514605514
63,01-03-00,443.7035199159669,7.207311579306573,7.1486138826098795
64,01-04-00,442.01786025210043,7.1799308776958775,7.154633099372096
65,01-05-00,440.6684325210086,7.158010772590774,7.156416704340702
66,01-06-00,440.3156205042019,7.1522797897898,7.164939205842207
67,01-07-00,440.26131638655403,7.151398068523076,7.169786217581221
68,01-08-00,444.9692478151262,7.227871546546556,7.173898211029217
69,01-09-00,443.3271426890752,7.201197547092543,7.17815154490855
70,01-10-00,438.5861426890756,7.124187062517065,7.171386802893808
71,01-11-00,442.98390378151225,7.195622433797434,7.1800553316953355
72,01-12-00,429.8824621848736,6.982808978978984,7.146337513786517
73,01-13-00,433.56524689075604,7.0426306906906895,7.109289342615344
74,01-14-00,445.28893647058857,7.233064392574385,7.115662711711711
75,01-15-00,443.2800747899158,7.200433338793329,7.1309119669669645
76,01-16-00,439.15280235294074,7.133392118482117,7.118465903903901
77,01-17-00,435.88572605041963,7.080322899262894,7.137968687960684
78,01-18-00,439.0169551260507,7.1311852402402405,7.155679597870593
79,01-19-00,433.41890613445395,7.040253554463557,7.1171174302484275
80,01-20-00,432.8253207563026,7.030611276276274,7.083153017745016
81,01-21-00,441.9034794117646,7.1780733456183565,7.092089263172264
82,01-22-00,439.22289470588237,7.1345304449904425,7.102930772317774
83,01-23-00,436.798342352941,7.095147166257162,7.095723157521158
84,01-24-00,438.31126789916044,7.119722689052688,7.111616984438984
85,01-25-00,437.4299966386551,7.105408058968058,7.1265763409773415
